Token,Count
romeo,307
juliet,185
capulet,160
love,157
prepar,152
inform,147
project,147
gutenberg,147
legal,147
advisor,147
nurs,146
ladi,120
come,118
shall,109
friar,101
mercutio,88
ill,83
tybalt,81
benvolio,80
enter,78
go,78
good,76
death,72
man,71
night,71
well,69
hath,64
one,61
say,61
pari,57
sir,56
make,55
art,55
give,55
day,55
would,54
let,52
montagu,51
dead,48
doth,47
may,47
eye,46
yet,46
tell,45
like,45
fair,44
take,43
upon,43
hast,43
marri,42
princ,41
time,41
ti,40
must,40
look,40
lie,39
see,39
hand,38
live,38
know,38
servant,37
much,37
call,36
heart,35
word,34
speak,33
sweet,33
heaven,32
exit,32
gone,32
hous,31
exeunt,31
lord,31
peter,30
us,30
wilt,30
back,30
light,30
die,30
name,30
god,30
stand,29
stay,29
mine,29
old,28
men,28
part,28
ay,28
scene,27
true,27
find,27
lawrenc,26
father,26
henc,26
dear,26
tear,25
watch,25
young,24
hour,24
musician,23
fear,23
therefor,23
away,23
hear,23
banish,23
sampson,22
till,22
bed,22
bid,22
face,22
faith,22
woe,22
two,21
life,21
madam,21
think,21
cannot,21
within,21
thing,21
holi,21
joy,21
head,20
friend,20
nay,20
put,20
made,20
ere,20
farewel,20
ah,20
balthasar,19
gregori,19
wife,19
daughter,19
mean,19
keep,19
peac,19
fall,19
son,18
show,18
hate,18
hold,18
cousin,18
earth,18
never,18
letter,18
lip,18
help,18
could,17
ear,17
turn,17
villain,17
grave,17
rest,17
earli,17
beauti,17
weep,17
wit,17
world,17
counti,17
flower,17
breath,17
cell,17
slain,17
blood,16
move,16
bear,16
long,16
sun,16
sound,16
leav,16
dost,16
grief,16
poor,16
mother,16
pray,16
soul,16
mantua,15
whose,15
draw,15
maid,15
quarrel,15
alon,15
sleep,15
kiss,15
child,15
none,15
need,15
dream,15
send,15
tomorrow,15
news,15
verona,14
kinsman,14
anoth,14
noth,14
mani,14
morn,14
happi,14
still,14
thine,14
said,14
year,14
poison,14
gentleman,14
tonight,14
bring,14
thursday,14
lay,13
new,13
lover,13
place,13
sword,13
master,13
run,13
talk,13
came,13
soon,13
without,13
els,13
get,13
husband,13
late,13
use,13
murder,13
play,12
forth,12
end,12
ever,12
better,12
ye,12
heavi,12
gentl,12
she,12
even,12
littl,12
cheek,12
hither,12
sin,12
shame,12
thank,12
tongu,12
bodi,12
page,11
wall,11
law,11
ho,11
shalt,11
set,11
mad,11
way,11
oer,11
comfort,11
sinc,11
best,11
sit,11
warrant,11
marriag,11
wake,11
saint,11
kill,11
pardon,11
full,11
thought,11
attend,10
act,10
dare,10
street,10
mind,10
chamber,10
black,10
sorrow,10
first,10
he,10
rich,10
wise,10
forget,10
though,10
desper,10
rosalin,10
neer,10
cri,10
done,10
everi,10
follow,10
straight,10
torch,10
swear,10
music,10
pale,10
answer,10
alack,10
church,10
monument,10
john,9
apothecari,9
citizen,9
ancient,9
arm,9
stir,9
feel,9
serv,9
fight,9
fool,9
foot,9
ground,9
case,9
either,9
sad,9
here,9
wast,9
unto,9
mistress,9
bound,9
honour,9
last,9
fortun,9
inde,9
great,9
saw,9
sight,9
other,9
hang,9
boy,9
bless,9
youth,9
meet,9
what,9
twenti,9
silver,9
vault,9
buri,8
bite,8
beat,8
measur,8
cloud,8
counsel,8
nobl,8
hide,8
feast,8
welcom,8
dark,8
fellow,8
book,8
merri,8
ask,8
enough,8
knock,8
thu,8
that,8
bone,8
anon,8
bosom,8
vile,8
gentlemen,8
high,8
natur,8
tomb,8
lament,8
churchyard,8
abraham,7
three,7
break,7
foe,7
dog,7
flesh,7
rememb,7
among,7
hell,7
nois,7
enemi,7
fire,7
bloodi,7
close,7
toward,7
